model,train_r2,val_r2,val_rmse,test_r2,test_rmse,test_mae
RF_deeper_frac_features,0.9565855769042918,0.8461492218181099,0.3837760579220193,0.8385840036407282,0.38365373387951707,0.25305195017271886
HistGBDT_deeper_faster_lr,0.8760776013178126,0.8424196072602483,0.38839990784058537,0.8372926092356641,0.3851853704375442,0.2657729384796358
HistGBDT_moderate_depth,0.8282808174532446,0.8151557483458917,0.42065979278125026,0.810609995739107,0.41557046151534793,0.2878668716996746
RF_shallow_sqrt_features,0.7504926997280601,0.7327471031108636,0.5058121295172445,0.7303870425230776,0.49583425148458227,0.34678513668845035
