listing_id,City,n_chars,n_reviews_concatenated
1003920422456586658,San Francisco,3801,8
1003922683054829902,San Francisco,1553,6
1003946782971201402,Los Angeles,4371,23
1003949202257678864,Hawaii,5488,16
1003966184493596382,Los Angeles,89,2
1003977362899809587,Hawaii,15182,34
1003981909536608244,Hawaii,367,1
1004035797301637471,Hawaii,924,2
1004042148516461655,Hawaii,11827,48
1004054391433773175,Los Angeles,374,2
10040780,Los Angeles,78950,246
1004095772865729525,New York,421,1
10041157,New York,605,2
1004249761260526414,New York,1472,4
1004250291069589609,New York,1261,3
1004275203463075946,New York,12473,62
1004293603040155452,New York,1043,2
10042945,Los Angeles,71863,282
1004302598469798960,Hawaii,8111,19
1004307109136440017,Los Angeles,2048,7
1004322871328844603,Hawaii,383,1
1004323221044073892,Hawaii,35,1
1004323932187096607,Hawaii,468,2
1004348936749654875,Los Angeles,19861,93
1004362538535036288,Los Angeles,17251,85
1004366416447882207,Nashville,450,1
1004372507269121249,Los Angeles,25507,107
1004378433651938685,Nashville,22426,81
1004379100281633045,Los Angeles,2841,8
1004391558188559765,Los Angeles,319,3
1004402062021676491,Hawaii,2191,6
1004418157528389612,Los Angeles,11345,43
1004428776661057322,New York,146,2
1004442886221909241,New York,10674,45
1004449294036651137,Los Angeles,10469,36
1004449556461946157,Los Angeles,458,3
1004464712739390288,Los Angeles,4267,15
1004466409355496588,New York,26940,152
1004476633739468977,Los Angeles,235,3
1004478572503498558,Hawaii,373,1
1004493753539146106,Los Angeles,4385,13
1004495472244147294,Hawaii,33355,141
1004507987284505214,New York,169,1
1004519718913994972,Los Angeles,1850,11
1004529128858428048,Los Angeles,3025,8
1004542180169296470,Nashville,20748,70
1004545427417369592,Los Angeles,6094,25
1004553984873382141,Los Angeles,516,1
1004554839634014750,Los Angeles,291,3
1004559185133215937,Los Angeles,6833,25
1004603077958361732,Los Angeles,98,1
1004606831833534678,New York,7529,24
1004635311209824573,Los Angeles,6299,23
1004640820826513610,Hawaii,1070,4
1004646811713406383,Hawaii,423,3
1004655442342772205,Los Angeles,4500,26
1004673109604106782,Los Angeles,4932,20
1004767511103212611,Los Angeles,18312,90
1004798610742332373,Hawaii,20605,64
1004808413358770732,San Francisco,2704,9
1004933046061134895,New York,14166,59
1004941317645309758,Los Angeles,244,2
1004969148607639053,Hawaii,726,4
1004979528339732090,New York,37,1
1004986421761369903,New York,691,1
1004990791225215067,Nashville,5306,17
1005000056901234199,Hawaii,357,2
1005000061931123886,Hawaii,2467,7
10050536,New York,9628,43
1005076313287192804,Los Angeles,3129,19
1005089945285755808,Los Angeles,14565,73
1005094818766288071,Los Angeles,56,1
1005129877077277243,San Francisco,30387,101
1005170940682176047,New York,13784,65
1005180247136122128,Los Angeles,17526,75
1005195240042513104,Nashville,9260,37
1005202923488353485,Hawaii,1647,4
1005220118258292618,Los Angeles,4374,17
10052338,Los Angeles,60356,209
10052587,New York,12690,51
1005270663115731558,Hawaii,620,3
1005277904726372628,Los Angeles,161,1
1005285496490883802,Los Angeles,803,3
1005322784064942179,Hawaii,19787,57
1005363782316269540,Hawaii,7678,28
1005386702114947869,Hawaii,348,2
1005402693623378220,Los Angeles,460,2
1005418075881795688,Los Angeles,377,3
1005455401581521842,New York,2323,8
1005458276514664728,San Francisco,8322,46
10055925,New York,4008,22
1005642,San Francisco,122693,457
1005670166131650190,New York,162,1
10056974,Nashville,21769,50
1005699715476632962,New York,70,1
1005718268391592996,New York,589,2
10057826,New York,3291,8
10058059,San Francisco,15877,47
1005810109020177963,Nashville,21052,96
1005815475598371052,New York,104,2
10058568,San Francisco,27456,79
1005869533862221526,Hawaii,208,1
1005888148682428924,Los Angeles,4176,21
1005914845377005142,Los Angeles,48128,230
1005919122596628028,Los Angeles,125,1
1005920232069924552,Hawaii,13185,61
1005998038434439528,Los Angeles,9943,52
1006065147103042340,Los Angeles,11691,53
1006068540323632978,New York,13572,59
1006166289020477998,Los Angeles,23832,109
1006333058377384328,Los Angeles,4396,20
1006382721623808863,New York,111,1
1006408371449823451,New York,989,1
1006416060412152707,New York,50,1
1006487297634998418,New York,16314,53
1006493394300852627,New York,1043,2
1006500412724980813,Los Angeles,848,5
1006524322601480189,Hawaii,1579,5
1006527301056313841,New York,7086,25
1006529639621355376,New York,201,1
1006565068555013140,Los Angeles,609,2
1006618711374900920,Hawaii,1001,5
1006664704237639623,San Francisco,289,1
1006681477271989960,New York,15961,56
1006687052760703295,Los Angeles,2780,18
1006718259707488455,Los Angeles,5374,15
10067187,San Francisco,42949,141
1006728211991514735,Nashville,22812,93
1006747196295382192,Hawaii,3980,14
1006774,Los Angeles,53626,266
1006774961253095949,Los Angeles,5848,25
1006786464665372746,New York,9109,50
10068100,Los Angeles,10307,21
1006811048902373957,Los Angeles,436,2
1006833793041633420,Hawaii,1439,7
1006850,Los Angeles,16111,52
10068653,New York,1113,3
1006866800293867001,Los Angeles,8454,29
10068788,Los Angeles,48210,194
1006881464897036755,Los Angeles,130,2
1006922143148711575,Hawaii,11026,41
1006944973093641883,Los Angeles,6942,28
1006962799821302300,Los Angeles,7471,33
1006971863671942203,Los Angeles,539,3
1006989,Nashville,220684,651
1006999162702594019,San Francisco,425,3
1007006229946306996,San Francisco,989,1
1007111086102174714,Nashville,510,2
1007126782868107425,San Francisco,110,1
10071349,San Francisco,5771,24
1007152655365689285,San Francisco,1189,2
10071932,San Francisco,1838,6
1007195302734513815,New York,738,1
1007199440000321831,New York,1760,6
1007225552327203248,New York,249,1
1007225844823503320,New York,418,1
